client_id,sex,type,age
2201320103,1,1,54
1160910199,1,1,53
348196477,0,1,42
1225971105,1,1,48
886064014,1,1,50
1551551986,0,1,45
349594513,0,1,40
3230654910,0,1,33
1382875420,0,1,28
3406731174,0,1,41
348004847,1,1,59
2664931199,1,1,53
3060553609,1,1,35
3416039266,0,1,29
349637060,1,1,44
2905650554,0,1,32
2928359392,1,1,28
785090025,0,1,33
2366976077,1,1,40
347952887,0,1,55
348274493,1,1,31
3257570524,1,1,49
3416048884,0,1,53
3324901110,1,1,39
1950376614,1,1,35
2706573496,1,1,25
356511402,0,1,35
1564644341,0,1,55
400421622,0,1,28
3262232223,0,1,36
347392299,0,1,41
1339454326,1,1,57
348111437,1,1,47
2296322551,0,1,34
3421454108,1,1,48
347028146,0,1,49
359846838,1,1,36
348231165,1,1,59
3338537066,0,1,31
822176033,0,1,51
1905462823,0,1,38
583989382,1,1,48
2825921911,1,1,32
349119181,0,1,46
634750419,0,1,41
1814277227,1,1,42
883817420,1,1,46
2039738638,0,1,51
2797363639,0,1,31
2234367058,0,1,62
3088042054,0,1,35
2292663881,0,1,56
2513935187,1,1,60
2618189590,0,1,23
3414436762,1,1,29
3088006089,0,1,37
887652152,0,1,62
2043587360,0,1,30
3335048084,0,1,31
2987026824,1,1,34
2913998191,0,1,30
1355480018,0,1,26
2292679918,1,1,33
2446710652,0,1,42
2427383962,1,1,34
3200314138,1,1,34
3260236908,0,1,46
1991729078,0,1,46
2834329239,1,1,34
3415970087,1,1,45
3236365081,1,1,42
2657841136,0,1,44
348653603,0,1,38
464324855,1,1,41
2282190171,1,1,52
2258969202,0,1,48
3416460629,1,1,29
830497665,1,1,57
2831956647,0,1,33
1197923974,1,1,43
3309462756,0,1,41
2074045827,1,1,53
346749294,0,1,37
349753847,0,1,52
2204094483,0,1,36
1094695502,1,1,47
2510807459,1,1,38
347119717,0,1,31
2488577837,0,1,32
1378876636,0,1,30
1546055118,1,1,45
3256995623,0,1,35
349455101,0,1,69
1607781041,1,1,43
359851280,0,1,41
1232020876,0,1,34
935530184,0,1,30
348278211,0,1,50
347172834,1,1,43
1442955467,1,1,31
3403859970,0,1,61
348225519,0,1,32
346543918,0,1,31
2427373797,1,1,48
835827237,1,1,45
1159029172,1,1,30
2980768189,1,1,58
2284669939,0,1,48
2279111084,0,1,38
2201772246,1,1,61
2350400495,0,1,34
1160866654,0,1,28
347881582,0,1,45
349302896,0,1,57
989773097,1,1,67
1211805901,0,1,44
1475676472,1,1,45
2423776884,1,1,23
2866848568,1,1,22
347667299,1,1,58
2427843606,1,1,20
800845086,0,1,43
3416185338,0,1,25
348099395,0,1,52
1212121411,0,1,44
823681503,0,1,42
868808437,1,1,32
1226161447,0,1,42
3415774108,1,1,45
2777933404,1,1,53
3334860357,1,1,31
716878028,0,1,62
2834343766,0,1,37
349155536,1,1,60
631075831,0,1,27
3327342984,1,1,19
3089540375,0,1,43
348268352,0,1,35
3414589341,0,1,23
3343721388,0,1,54
349184719,0,1,30
2859731675,0,1,45
349961096,1,1,45
1015663214,0,1,37
349658830,1,1,30
2746316279,1,1,43
2589477716,1,1,54
908141913,0,1,57
3208799693,0,1,39
2276272209,0,1,28
2546197133,0,1,23
2517430056,0,1,20
2296192639,0,1,24
1135338426,0,1,65
2457333896,0,1,32
1071748754,0,1,34
348496635,0,1,46
349269854,1,1,50
1404295613,1,1,54
1815998579,1,1,22
489384115,0,1,37
2570814764,1,1,59
3209989270,0,1,35
2745504376,0,1,31
1197932921,0,1,45
1092740692,1,1,23
347226024,1,1,37
2666583893,1,1,46
2381208875,0,1,40
3259793291,1,1,34
477743870,1,1,47
348135672,0,1,32
2227517588,1,1,34
484631183,1,1,30
3137792251,1,1,45
3414582699,0,1,42
2365460666,1,1,21
1159040368,1,1,28
349201396,0,1,32
356543268,1,1,46
2517590798,0,1,33
3234215285,0,1,21
3006273920,0,1,29
347411643,0,1,36
3315119473,1,1,29
347163388,0,1,68
2591935464,1,1,52
2911444315,1,1,48
2331888189,1,1,60
348128593,1,1,26
3420678284,0,1,41
2987999720,0,1,44
346707926,1,1,62
3407113168,0,1,25
2427760642,0,1,33
2443431711,1,1,37
790823351,1,1,28
2473308416,0,1,29
642060889,0,1,59
2424025354,0,1,60
2043437904,1,1,48
3239300982,0,1,37
347257314,1,1,45
2316574076,0,1,32
349305636,1,1,42
2498828657,0,1,24
2119813613,0,1,25
3262574362,0,1,29
2510329750,1,1,41
2735413091,0,1,34
3233410470,0,1,30
3414141195,0,1,48
2897387819,1,1,36
3343457119,1,1,54
347510515,0,1,67
1497232266,1,1,37
666723939,0,1,60
3262250526,0,1,31
2412287795,1,1,45
2748815135,1,1,26
2533024595,0,1,37
2654441889,0,1,69
1133082185,0,1,45
3400648001,1,1,53
2837185718,0,1,19
2728463242,0,1,61
2713616993,0,1,51
3416361136,0,1,55
2735740623,1,1,32
3324857712,0,1,35
3089533137,1,1,32
349787343,0,1,41
1422099055,0,1,36
3324471869,1,1,22
348476689,1,1,51
1882426621,0,1,24
2379352092,0,1,31
3310090939,0,1,57
3343911080,1,1,44
3338942842,0,1,37
2585428679,1,1,34
3000940968,1,1,43
348984761,1,1,39
2056962346,1,1,42
2498949860,0,1,28
3420799779,0,1,29
772393328,0,1,45
2586485416,0,1,55
2574201024,0,1,36
2593755896,0,1,47
427246553,1,1,54
1213937201,0,1,52
2673002597,1,1,58
2589532206,0,1,22
3260263316,1,1,30
2826265083,0,1,21
1094793533,1,1,39
989867945,0,1,24
1171866537,1,1,32
2905515684,0,1,45
824996767,0,1,35
3324563839,0,1,23
2034345755,0,1,34
1963395224,1,1,50
715171441,0,1,24
2347475946,1,1,29
3343737658,1,1,50
3335598671,1,1,54
3175196041,1,1,56
2245567137,1,1,20
3145060162,1,1,48
3338957943,0,1,34
1955011078,0,1,60
1182785366,1,1,25
3254662999,0,1,46
348054830,0,1,31
2012745131,0,1,52
1289402417,0,1,41
2583723988,0,1,33
2591755348,0,1,28
2098398884,0,1,49
1905070901,1,1,42
3006783810,0,1,36
3420866746,0,1,57
778349277,1,1,56
680937675,1,1,29
1291631031,0,1,58
1680811828,1,1,44
2412132415,0,1,37
3306107735,1,1,60
2936297572,0,1,38
1457303390,1,1,55
2816257568,0,1,52
1995754950,0,1,48
347855569,0,1,61
2344510261,1,1,32
3256847534,0,1,39
372842358,1,1,42
349797377,0,1,55
3312699572,0,1,30
2478872912,1,1,47
2328454486,1,1,47
349347656,0,1,39
2248655738,1,1,58
359832886,1,1,43
348371318,0,1,28
349153878,0,1,31
348080896,0,1,31
1840252926,1,1,47
935872453,0,1,32
347894260,0,1,45
641941986,0,1,28
2908835161,1,1,56
825036460,0,1,44
3234157060,0,1,39
349186287,0,1,34
2564791246,0,1,52
2104792636,1,1,61
347398878,0,1,55
2296210522,0,1,30
620948289,0,1,60
3063802548,0,1,29
348295142,1,1,46
1749805957,0,1,32
2347788202,1,1,50
2986738456,0,1,28
2591584609,0,1,48
3088187818,0,1,31
347955392,1,1,48
1626600896,0,1,26
913297551,1,1,44
1061631713,1,1,28
2381280904,0,1,33
2514250026,0,1,45
2175998106,0,1,51
752302067,1,1,54
1104593760,1,1,31
346973937,0,1,42
347530412,0,1,38
1830793497,1,1,39
347373687,1,1,44
1192302748,1,1,56
2990071401,1,1,40
645009278,0,1,49
349226998,0,1,44
790908912,1,1,66
2570973162,1,1,61
741787320,0,1,29
2492618152,0,1,47
2987764948,0,1,59
2836820442,0,1,40
2424128813,1,1,38
1449231538,0,1,34
2893154458,1,1,58
349755882,1,1,39
2911280312,0,1,24
3343797409,1,1,43
1022304911,0,1,44
348012051,1,1,64
1544379085,0,1,52
2355332997,0,1,32
471528453,1,1,42
2664614303,0,1,28
347803177,1,1,57
2653912881,1,1,37
856822366,0,1,57
452188019,0,1,24
349440020,0,1,53
3327163470,0,1,30
348068983,1,1,60
3239148277,1,1,26
3233543799,0,1,44
2896883950,0,1,28
2571318553,1,1,22
3006269137,1,1,33
3178357253,0,1,39
349749005,1,1,58
3414353007,0,1,68
2927492093,1,1,37
3343735150,0,1,25
973533772,0,1,24
603505620,1,1,25
822322855,0,1,34
540321456,1,1,39
1138340696,0,1,44
3233625778,0,1,37
349717440,0,1,60
716820241,0,1,33
673391000,0,1,53
2927960146,1,1,40
347806305,1,1,41
3163479829,0,1,47
737962843,0,1,29
1359919741,1,1,39
3403501666,1,1,408
1769944873,1,1,46
2963173913,0,1,35
3262131132,1,1,55
1436578894,0,1,61
607367315,1,1,50
3406294423,1,1,29
2088625695,1,1,54
1493133932,0,1,52
2900143294,1,1,45
3000591612,0,1,29
1900342161,0,1,58
3000844844,0,1,46
346835407,1,1,52
386710272,1,1,35
1299451484,0,1,44
349169968,0,1,68
348063072,0,1,52
3233845983,0,1,38
3416531757,0,1,38
2819016100,0,1,29
3414439299,1,1,50
2897410221,1,1,36
349180994,1,1,52
3338503839,0,1,22
1069010614,0,1,39
1355479270,0,1,28
348107811,1,1,69
2809463196,0,1,42
3406357082,1,1,54
349425919,1,1,36
2706666269,0,1,42
3421494853,1,1,54
3328159547,0,1,60
349370734,0,1,58
2735562836,0,1,33
2426969464,1,1,38
1611831410,1,1,40
1995603901,0,1,28
3089751486,0,1,28
588063474,0,1,46
3262421655,0,1,59
349388273,1,1,55
349231791,0,1,52
417334625,1,1,48
2046031269,1,1,42
825114900,0,1,37
2927786543,0,1,64
1195042721,1,1,42
2836119171,0,1,61
3174825690,0,1,34
3335000357,1,1,33
626767398,1,1,27
2171719135,1,1,27
1868733912,1,1,56
1933456714,1,1,22
1862129958,0,1,27
2905526700,1,1,24
2583868464,0,1,31
349224539,1,1,65
2514760067,0,1,34
1296475833,0,1,29
1502883232,0,1,32
912075353,0,1,24
566991414,0,1,36
348831136,0,1,41
348086984,1,1,41
347227856,1,1,45
1152504619,1,1,43
2672193925,1,1,31
2735545625,0,1,29
967040676,1,1,53
654146261,0,1,34
3006931964,0,1,25
3338920921,1,1,62
349605961,1,1,48
1791724451,0,1,29
1017303112,1,1,47
1348707290,0,1,36
2514495219,1,1,42
