,contract_id,summa zaloga,Вспомогательное оборудование,Гарантия,Гарантия резервных товаров,Денежные средства,Драгоценные металлы,Имущество ответственности,Крупно-рогатый скот,Недвижимость,Поручитель,Сберегательный депозит,Стоимость сельхоз техники,Уборка будущего урожая,collateral amount
0,3242685099,15000.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
1,2284737328,26000.0,0,0,0,0,0,0,1,1,1,0,0,1,4.0
4,1637320955,150000.0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
5,3416183132,27566.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
6,3421812332,61127.0,0,2,0,0,0,0,0,0,0,0,0,0,3.0
7,3420768056,15000.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
8,3009328950,3380.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
9,2834422027,4680.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
10,1888920274,3000.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
11,2298335210,46345.0,0,0,0,0,0,0,1,1,1,0,0,1,4.0
12,2750407785,1296.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
13,2298248995,25000.0,0,0,0,0,0,0,0,0,2,0,0,0,2.0
14,3344132564,22500.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
15,3421613900,4815.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
16,3420871736,11225.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
17,1943760948,52111.0,0,0,1,0,0,0,0,1,1,0,0,0,3.0
18,2836172311,15505.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
19,3421476191,15795.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
20,3090012885,15280.0,1,0,0,0,0,0,1,1,0,0,0,0,3.0
21,2928565051,1808.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
22,3171159401,28800.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
23,1588693486,5070.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
24,3416398450,19230.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
25,3327894017,45627.0,0,0,0,0,0,0,1,1,0,0,1,0,3.0
26,2928568220,13325.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
27,3090170708,15375.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
28,2367782180,45775.0,0,0,0,0,0,0,1,1,1,0,0,1,4.0
29,3090261175,23140.0,0,0,0,0,0,0,1,1,1,0,0,0,3.0
30,3239479451,4928.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
31,2756043973,21760.0,0,0,1,0,0,0,1,1,0,0,0,0,3.0
32,3416187627,26000.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
33,3080627559,13235.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
34,3338520135,2487.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
35,1816051002,30928.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
36,2158917320,35100.0,0,0,0,0,0,0,1,1,0,0,1,0,3.0
37,3416513025,26260.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
38,3338791804,13265.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
39,3178501684,6038.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
40,2517622551,2940.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
41,3315501545,45265.0,1,0,0,0,0,0,1,1,0,0,0,0,3.0
42,2593624235,53300.0,1,0,0,0,0,0,1,1,1,0,0,0,4.0
43,2914671624,45000.0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
44,3315293041,50000.0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
45,3089767749,13195.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
46,3161045523,27055.0,1,0,0,0,0,0,1,1,0,0,0,0,3.0
47,2574279440,10000.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
48,3343562976,23237.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
49,3327795455,1821.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
50,3000427777,1935.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
51,3343982940,2603.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
52,3338985236,2304.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
53,2666569845,6000.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
54,1821820008,23680.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
55,3421370840,21510.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
56,2673081010,7265.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
57,3315692567,14840.0,0,0,0,0,0,0,0,1,0,0,0,1,2.0
58,3416518497,37130.0,1,0,0,0,0,0,1,1,0,0,0,0,3.0
59,2284319539,24045.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
60,3178876196,38997.0,0,0,1,0,0,0,0,1,1,0,0,0,3.0
61,1189412233,9041.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
62,3416138874,47283.0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
63,3242766388,52725.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
64,3009002577,7584.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
65,3421164275,2964.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
66,2094600169,24852.0,1,2,0,0,0,0,0,1,0,0,0,0,4.0
67,3400459597,26235.0,1,0,0,0,0,0,1,1,0,0,0,0,3.0
68,2914301023,4313.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
69,3416449466,10595.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
70,2900083387,17160.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
71,3416067991,32552.0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
72,2201366058,13470.0,0,0,0,0,0,0,1,1,1,0,0,0,3.0
73,3312706492,16130.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
74,2593938075,29913.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
75,1751990030,13210.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
76,1960019615,10000.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
77,3421700531,39098.0,0,2,0,0,0,0,0,0,0,0,0,0,3.0
78,3338829011,13010.0,0,0,0,0,0,0,0,1,0,0,0,1,2.0
79,1814503222,11180.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
80,3421091136,2825.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
81,2816575402,26789.0,0,0,0,0,0,0,1,1,1,0,0,0,3.0
82,2732806227,31395.0,0,0,0,0,0,0,1,1,1,0,0,0,3.0
83,2666410870,11530.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
84,3416354423,2250.0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
85,3344452314,60090.0,1,0,1,0,0,0,1,1,0,0,0,0,4.0
86,2755854237,9100.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
87,3090090814,2899.0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
88,2297987216,13245.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
89,2215516842,26000.0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
90,2967425967,16217.0,0,0,0,0,0,0,1,1,0,0,1,0,3.0
91,3420755968,22500.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
92,2756017216,26705.0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
93,3000657649,22500.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
94,2094579625,173925.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
95,1936040933,34575.0,0,0,1,0,0,0,0,1,0,0,0,0,2.0
96,3406576793,17727.0,0,2,0,0,0,0,0,0,0,0,0,0,2.0
97,3421619588,17878.0,0,3,0,0,0,0,0,0,0,0,0,0,3.0
98,3339004666,33045.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
99,3327843592,15620.0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
100,3315310832,16054.0,0,3,0,0,0,0,0,0,0,0,0,0,3.0
101,3178444933,13787.0,0,0,0,0,0,0,1,1,0,0,0,1,3.0
102,2005094692,48360.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
